week,agegroup,sex,deaths-involving-covid-19-occurrences,deaths-involving-covid-19-registrations,total-registered-deaths
week-4,85-89,male,0,0,1014
week-4,90+,all,0,0,2626
week-4,90+,female,0,0,1716
week-4,90+,male,0,0,910
week-5,all,all,0,0,11612
week-5,all,female,,,
week-5,all,male,,,
week-5,0-1,all,0,0,50
week-5,0-1,female,0,0,28
week-5,0-1,male,0,0,22
week-5,1-4,all,0,0,6
week-5,1-4,female,0,0,2
week-5,1-4,male,0,0,4
week-5,5-9,all,0,0,5
week-5,5-9,female,0,0,1
week-5,5-9,male,0,0,4
week-5,10-14,all,0,0,4
week-5,10-14,female,0,0,1
week-5,10-14,male,0,0,3
week-5,15-19,all,0,0,23
week-5,15-19,female,0,0,6
week-5,15-19,male,0,0,17
week-5,20-24,all,0,0,23
week-5,20-24,female,0,0,7
week-5,20-24,male,0,0,16
week-5,25-29,all,0,0,28
week-5,25-29,female,0,0,9
week-5,25-29,male,0,0,19
week-5,30-34,all,0,0,58
week-5,30-34,female,0,0,18
week-5,30-34,male,0,0,40
week-5,35-39,all,0,0,76
week-5,35-39,female,0,0,31
week-5,35-39,male,0,0,45
week-5,40-44,all,0,0,100
week-5,40-44,female,0,0,42
week-5,40-44,male,0,0,58
week-5,45-49,all,0,0,163
week-5,45-49,female,0,0,56
week-5,45-49,male,0,0,107
week-5,50-54,all,0,0,278
week-5,50-54,female,0,0,98
week-5,50-54,male,0,0,180
week-5,55-59,all,0,0,382
week-5,55-59,female,0,0,135
week-5,55-59,male,0,0,247
week-5,60-64,all,0,0,525
week-5,60-64,female,0,0,201
week-5,60-64,male,0,0,324
week-5,65-69,all,0,0,732
week-5,65-69,female,0,0,295
week-5,65-69,male,0,0,437
week-5,70-74,all,0,0,1196
week-5,70-74,female,0,0,513
week-5,70-74,male,0,0,683
week-5,75-79,all,0,0,1445
week-5,75-79,female,0,0,618
week-5,75-79,male,0,0,827
week-5,80-84,all,0,0,1811
week-5,80-84,female,0,0,892
week-5,80-84,male,0,0,919
week-5,85-89,all,0,0,2124
week-5,85-89,female,0,0,1154
week-5,85-89,male,0,0,970
week-5,90+,all,0,0,2583
week-5,90+,female,0,0,1711
week-5,90+,male,0,0,872
week-6,all,all,0,0,10986
week-6,all,female,,,
week-6,all,male,,,
week-6,0-1,all,0,0,30
week-6,0-1,female,0,0,16
week-6,0-1,male,0,0,14
week-6,1-4,all,0,0,8
week-6,1-4,female,0,0,3
week-6,1-4,male,0,0,5
week-6,5-9,all,0,0,4
week-6,5-9,female,0,0,2
week-6,5-9,male,0,0,2
week-6,10-14,all,0,0,4
week-6,10-14,female,0,0,0
week-6,10-14,male,0,0,4
week-6,15-19,all,0,0,10
week-6,15-19,female,0,0,2
week-6,15-19,male,0,0,8
week-6,20-24,all,0,0,34
week-6,20-24,female,0,0,11
week-6,20-24,male,0,0,23
week-6,25-29,all,0,0,23
week-6,25-29,female,0,0,12
week-6,25-29,male,0,0,11
week-6,30-34,all,0,0,38
week-6,30-34,female,0,0,14
week-6,30-34,male,0,0,24
week-6,35-39,all,0,0,71
week-6,35-39,female,0,0,18
week-6,35-39,male,0,0,53
week-6,40-44,all,0,0,95
week-6,40-44,female,0,0,40
week-6,40-44,male,0,0,55
week-6,45-49,all,0,0,157
week-6,45-49,female,0,0,62
week-6,45-49,male,0,0,95
week-6,50-54,all,0,0,289
week-6,50-54,female,0,0,114
week-6,50-54,male,0,0,175
week-6,55-59,all,0,0,371
week-6,55-59,female,0,0,163
week-6,55-59,male,0,0,208
week-6,60-64,all,0,0,512
week-6,60-64,female,0,0,206
week-6,60-64,male,0,0,306
week-6,65-69,all,0,0,689
week-6,65-69,female,0,0,266
week-6,65-69,male,0,0,423
week-6,70-74,all,0,0,1120
week-6,70-74,female,0,0,494
week-6,70-74,male,0,0,626
week-6,75-79,all,0,0,1358
week-6,75-79,female,0,0,645
week-6,75-79,male,0,0,713
week-6,80-84,all,0,0,1698
week-6,80-84,female,0,0,823
week-6,80-84,male,0,0,875
week-6,85-89,all,0,0,2040
week-6,85-89,female,0,0,1097
week-6,85-89,male,0,0,943
week-6,90+,all,0,0,2433
week-6,90+,female,0,0,1590
week-6,90+,male,0,0,843
week-7,all,all,0,0,10944
week-7,all,female,,,
week-7,all,male,,,
week-7,0-1,all,0,0,43
week-7,0-1,female,0,0,14
week-7,0-1,male,0,0,29
week-7,1-4,all,0,0,6
week-7,1-4,female,0,0,2
week-7,1-4,male,0,0,4
week-7,5-9,all,0,0,2
week-7,5-9,female,0,0,1
week-7,5-9,male,0,0,1
week-7,10-14,all,0,0,4
week-7,10-14,female,0,0,1
week-7,10-14,male,0,0,3
week-7,15-19,all,0,0,16
week-7,15-19,female,0,0,7
week-7,15-19,male,0,0,9
week-7,20-24,all,0,0,26
week-7,20-24,female,0,0,7
week-7,20-24,male,0,0,19
week-7,25-29,all,0,0,27
week-7,25-29,female,0,0,8
week-7,25-29,male,0,0,19
